playerId,name,team,position,Overall_Talent_Rating,Offensive_Rate,xGD_OnIce_Per_100,I_F_takeaways_per60,games_played,icetime
8482705,Cole Sillinger,CBJ,C,65.42,0.62,-3.80,1.13,330,133956.00
8477444,Andre Burakovsky,SEA,L,65.37,0.70,-5.40,0.95,395,136724.00
8478401,Pavel Zacha,BOS,C,65.36,0.64,-3.20,0.92,410,187574.00
8471724,Kris Letang,PIT,D,65.36,0.29,-2.80,1.28,370,208906.00
8478462,Nicolas Roy,VGK,C,65.31,0.68,-0.60,1.11,355,129656.00
8482762,Simon Edvinsson,DET,D,65.24,0.35,2.60,0.95,390,197700.00
8476917,Adam Pelech,NYI,D,65.23,0.08,1.00,1.71,300,152020.00
8481598,Philip Broberg,STL,D,65.22,0.38,-1.40,0.95,340,167278.00
8482110,Dawson Mercer,NJD,C,65.21,0.66,1.60,0.74,410,175974.00
8478542,Evan Rodrigues,FLA,C,65.20,0.55,3.80,1.01,410,149756.00
8484227,Will Smith,SJS,C,65.19,0.96,-5.00,0.66,370,140772.00
8480817,K'Andre Miller,NYR,D,65.19,0.32,2.60,1.74,370,194886.00
8480028,Morgan Frost,CGY,C,65.17,0.58,-3.80,1.62,405,153142.00
8481577,Philip Tomasino,PIT,R,65.05,0.77,0.80,1.28,305,95646.00
8484984,Ivan Demidov,MTL,R,64.98,2.19,-1.60,0.00,10,3290.00
8480873,Rasmus Sandin,WSH,D,64.95,0.31,6.20,0.99,410,188838.00
8482803,Olen Zellweger,ANA,D,64.93,0.38,-1.80,1.07,310,141050.00
8478042,Viktor Arvidsson,EDM,L,64.92,0.75,5.80,0.90,335,120572.00
8480078,Filip Chytil,VAN,C,64.90,0.76,-2.20,1.07,280,100584.00
8476905,Chandler Stephenson,SEA,C,64.87,0.59,-4.00,1.18,390,182608.00
8477451,Ryan Hartman,MIN,R,64.82,0.64,0.00,1.22,345,123956.00
8477479,Tyler Bertuzzi,CHI,L,64.78,0.91,-5.40,0.91,410,157468.00
8479398,Samuel Girard,COL,D,64.78,0.23,-1.00,0.95,365,182640.00
8475763,Kevin Hayes,PIT,R,64.71,0.73,-3.80,1.05,320,92524.00
8481592,Jakob Pelletier,PHI,L,64.69,0.66,0.80,1.17,245,67950.00
